BIC;COD;COD2;NOM
CECAESMM43;2043;2043;CAJA DE AHORROS DE MURCIA
CECAESMM45;2045;2045;CAJA DE AHORROS Y MONTE DE PIEDAD DE ONTINYENT
CECAESMM48;2048;2048;CAJA DE AHORROS DE ASTURIAS
CECAESMM51;2051;2051;CAJA DE AHORROS Y MONTE PIEDAD DE BALEARES
CECAESMM52;2052;2052;CAJA INSULAR DE AHORROS DE CANARIAS
CECAESMM56;2056;2056;CAJA DE AHORROS DE POLLENSA
CECAESMM59;2059;2059;CAJA DE AHORROS DE SABADELL
CECAESMM66;2066;2066;CAJA DE AHORROS DE SANTANDER Y CANTABRIA
CAGLESMMVIG;2080;2080;CAJA DE AHORROS MUNICIPAL DE VIGO
CECAESMM81;2081;2081;CAIXA D'ESTALVIS DEL PENEDES
CAZRES2ZXXX;2085;2085;CAJA DE AHORROS Y M. DE P. DE ZARAGOZA, ARAGÓN Y RIOJA
CECAESMM86;2086;2086;CAJA DE AHORROS DE LA INMACULADA DE ARAGÓN
BASKES2BXXX;2095;2095;BILBAO BIZKAIA KUTXA
CSPAES2LXXX;2096;2096;CAJA ESPAÑA DE INVERSIONES, CAJA DE AHORROS Y M. DE P.
CECAESMM99;2099;2099;CAJA DE AHORROS Y MONTE DE PIEDAD DE EXTREMADURA
CAIXESBBXXX;2100;2100;CAJA DE AHORROS Y PENSIONES DE BARCELONA
CGGKES22XXX;2101;2101;CAJA DE AHORROS M. DE P. DE GIPUZKOA Y SAN SEBASTIÁN
UCJAES2MXXX;2103;2103;M. DE P. Y C.A. DE RONDA, CÁDIZ, ALMERÍA, MÁLAGA Y ANTEOUERA
CSSOES2SXXX;2104;2104;CAJA DE AHORROS DE SALAMANCA Y SORIA
CECAESMM15;2105;2105;CAJA CASTILLA-LA MANCHA
BBVAESMM17;2107;2107;UNNIM
BCOEESMM1;3001;3001;CAJA RURAL DE ALMENDRALEJO
BCOEESMM5;3005;3005;CAJA RURAL CENTRAL
BCOEESMM7;3007;3007;CAJA RURAL DE GIJON
BCOEESMM8;3008;3008;CAJA RURAL DE NAVARRA
BCOEESMM9;3009;3009;CAJA RURAL DE EXTREMADURA
BCOEESMM16;3016;3016;CAJA RURAL PROVINCIAL DE SALAMANCA
BCOEESMM17;3017;3017;CAJA RURAL PROVINCIAL DE SORIA
BCOEESMM18;3018;3018;CAJA RURAL SAN AGUSTÍN
BCOEESMM2;3020;3020;CAJA RURAL DE UTRERA SDAD. COOP. AND. LTDA, DE CRÉDITO
BCOEESMM23;3023;3023;CAJA RURAL DE GRANADA
CDENESBBXXX;3025;3025;CAIXA CREDIT DELS ENGINYERS SDAD. COOP. DE CREDITO
CCRIES2A29;3029;3029;CAJA DE CRÉDITO DE PETREL COOP. DE CRÉDITO
CLPEES2MXXX;3035;3035;CAJA LABORAL POPULAR COOP. DE CRÉDITO
CCRIES2A45;3045;3045;CAIXA DE CREDIT D'ALTEA COOP. DE CRÉDITO VALENCIANA
CCRIES2AXXX;3058;3058;CAJA RURAL DE ALMERÍA
BCOEESMM59;3059;3059;CAJA RURAL DE ASTURIAS
BCOEESMM6;3060;3060;CAJA RURAL DE BURGOS SDAD. COOP. DE CRÉDITO
BCOEESMM63;3063;3063;CAJA RURAL DE CÓRDOBA
BCOEESMM67;3067;3067;CAJA RURAL DE JAÉN SDAD. COOP. DE CRÉDITO
BCOEESMM7;3070;3070;CAIXA RURAL DE LUGO SDAD. COOP. DE CRÉDITO LDA.
BCOEESMM76;3076;3076;CAJA RURAL DE TENERIFE SDAD. COOP. DE CRÉDITO
BCOEESMM8;3080;3080;CAJA RURAL DE TERUEL
BCOEESMM81;3081;3081;CAJA RURAL DE TOLEDO
CCRIES2A82;3082;3082;CAJA RURAL DE VALENCIA SDAD. COOP. DE CRÉDITO
CVRVES2BXXX;3084;3084;CAJA RURAL VASCA SDAD. COOP. DE CRÉDITO LDA.
BCOEESMM85;3085;3085;CAJA RURAL DE ZAMORA
BCOEESMM89;3089;3089;CAJA RURAL NUESTRA SEÑORA DE GUADALUPE SDAD. COOP.
CCRIES2A95;3095;3095;CAJA RURAL SAN ROQUE COOP. DE CRÉDITO VALENCIANA
BCOEESMM96;3096;3096;CAJA RURAL DE L'ALCUDIA COOP. DE CRÉDITO
BCOEESMM98;3098;3098;CAJA RURAL NUESTRA SEÑORA DEL ROSARIO SDAD. COOP.
BCOEESMM12;3102;3102;C. RURAL S. VICENTE FERRER COOP. DE CRÉDITO VALENCIANA
BCOEESMM14;3104;3104;C. RURAL NTRA. SRA. DEL CAMPO SDAD. COOP. LDA. ANDALUZA
CCRIES2A15;3105;3105;CAJA DE CRÉDITO CALLOSA D'EN SARRIA
BCOEESMM11;3110;3110;CAJA RURAL CATÓLICO AGRARIA COOP. DE CRÉDITO VALENCIANA
BCOEESMM111;3111;3111;CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA
CCRIES2A112;3112;3112;CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA
BCOEESMM113;3113;3113;CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA
CCRIES2A114;3114;3114;CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA
BCOEESMM115;3115;3115;CAJA RURAL NUESTRA MADRE DEL SOL
BCOEESMM116;3116;3116;CAJA RURAL DE MOTA DEL CUERVO
BCOEESMM117;3117;3117;CAJA RURAL DE ALGEMESI COOP. DE CRÉDITO AGRÍCOLA
CCRIES2A118;3118;3118;CAJA RURAL DE TORRENT COOP. DE CRÉDITO VALENCIANA
CCRIES2A119;3119;3119;CAJA RURAL SAN JAIME COOP. DE CRÉDITO VALENCIANA
CCRIES2A121;3121;3121;CAJA RURAL DE CHESTE
CCRIES2A123;3123;3123;CAJA RURAL DE TURIS
BCOEESMM127;3127;3127;CAJA RURAL DE CASAS IBAÑEZ SDAD. COOP.
BCOEESMM13;3130;3130;CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA
BCOEESMM134;3134;3134;C. RURAL NTRA. SRA. ESPERANZA COOP. DE CRED. VALENCIANA
CCRIES2A135;3135;3135;CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA
CCRIES2A137;3137;3137;SOCIEDAD COOPERATIVA DE CRÉDITO CAJA RURAL CASINENSE
BCOEESMM138;3138;3138;CAJA RURAL CRÉDITO AGRÍCOLA COOP. DE CRÉDITO VALENCIANA
BCOEESMM14;3140;3140;SOCIEDAD COOPERATIVA DE CRÉDITO CAJA RURAL DE GUISSONA
BCOEESMM144;3144;3144;CAJA RURAL DE VILLAMALEA
CCCVESM1XXX;3146;3146;CAJA ESCOLAR DE FOMENTO SDAD COOP. DE CRÉDITO LDA.
BCOEESMM15;3150;3150;CAJA RURAL DE ALBAL COOP. DE CRÉDITO VALENCIANA
CCRIES2A152;3152;3152;CAJA RURAL DE VILLAR COOP. DE CRÉDITO VALENCIANA
CCRIES2A157;3157;3157;CAJA RURAL LA JUNQUERA COOP. DE CRÉDITO VALENCIANA
BCOEESMM159;3159;3159;CAIXA POPULAR COOP. DE CRÉDITO VALENCIANA
CCRIES2A16;3160;3160;CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA
BCOEESMM162;3162;3162;CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA
CCRIES2A165;3165;3165;CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA
BCOEESMM166;3166;3166;CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA
CXAVESB1XXX;3171;3171;CAIXA DELS ADVOCATS DE CATALUNYA SDAD. COOP. DE CRÉDITO
CCOCESMMXXX;3172;3172;CAJA CAMINOS SDAD. COOP. DE CRÉDITO
BCOEESMM174;3174;3174;CAJA RURAL EL SALVADOR COOP. DE CRÉDITO VALENCIANA
BCOEESMM177;3177;3177;CAJA RURAL DE CANARIAS
CCRIES2A179;3179;3179;CAJA RURAL DE ALGINET SDAD. COOP. DE CRÉDITO VALENCIANA
CASDESBBXXX;3183;3183;CAJA DE ARQUITECTOS SDAD. COOP. DE CRÉDITO LDA.
BCOEESMM187;3187;3187;CAJA RURAL DEL SUR
CCRIES2A188;3188;3188;CREDIT VALENCIA C.R.CTO.VALENCIANA
ESPBESMMXXX;9000;9000;BANCO DE ESPAÑA
BCOEESMM191;3191;3191;NUEVA CAJA RURAL DE ARAGON, SOCIEDAD COOPERATIVA DE CREDITO
ALLFESMMXXX;11;11;ALLFUNDS BANK, S.A.
BEDFESM1XXX;184;184;BANCO EUROPEO DE FINANZAS, S.A.
GEECESB1XXX;223;223;GENERAL ELECTRIC CAPITAL BANK, S.A.
SCFBESMMXXX;224;224;SANTANDER CONSUMER FINANCE, S.A.
FIEIESM1XXX;225;225;BANCO CETELEM, S.A.
UBSWESMMXXX;226;226;UBS BANK, S.A.
DSBLESMMXXX;231;231;DEXIA SABADELL, S.A.
INVLESMMXXX;232;232;BANCO INVERSIS, S.A.
POPIESMMXXX;233;233;POPULAR BANCA PRIVADA, S.A.
CCOCESMMXXX;234;234;BANCO CAMINOS, S.A.
PIESESM1XXX;235;235;BANCO PICHINCHA ESPAÑA, S.A.
LOYIESMMXXX;236;236;LLOYDS BANK INTERNATIONAL, S.A.
CSURES2CXXX;237;237;BBK BANK CAJASUR, S.A.
BFASESMMXXX;488;488;BANCO FINANCIERO Y DE AHORROS, S.A.
GBCCESMMXXX;490;490;BANCA CIVICA, S.A.
CSPAES2L18;2108;2108;BANCO DE CAJA ESPAÑA DE INVERSIONES, SALAMANCA Y SORIA, S.A.
CECAESMM52;2404;2404;CAJA INSULAR DE AHORROS DE CANARIAS
CECAESMM42;2405;2405;CAIXA D´ESTALVIS LAIETANA
CECAESMM37;2406;2406;CAJA DE AHORROS DE LA RIOJA
CECAESMM69;2408;2408;CAJA DE AHORROS Y MONTE DE PIEDAD DE SEGOVIA
CANVES2PXXX;2410;2410;CAJA DE AHORROS Y MONTE DE PIEDAD DE NAVARRA
CECAESMM16;2411;2411;MONTE DE PIEDAD Y CAJA DE AHORROS SAN FERNANDO DE GUADALAJARA, HUELVA, JEREZ Y SEVILLA
CECAESMM65;2412;2412;CAJA GENERAL DE AHORROS DE CANARIAS
CECAESMM18;2413;2413;CAJA DE AHORROS MUNICIPAL DE BURGOS
CECAESMM99;2415;2415;CAJA DE AHORROS Y MONTE DE PIEDAD DE EXTREMADURA
CECAESMM66;2416;2416;CAJA DE AHORROS DE SANTANDER Y CANTABRIA
CECAESMM31;2421;2421;CAJA GENERAL DE AHORROS DE GRANADA
CECAESMM43;2422;2422;CAJA DE AHORROS DE MURCIA
CECAESMM81;2423;2423;CAIXA D´ESTALVIS DEL PENEDES
CECAESMM51;2424;2424;CAJA DE AHORROS Y MONTE DE PIEDAD DE LAS BALEARES
CCRIES2A186;3186;3186;CAIXA RURAL ALBALAT DELS SORELLS, COOPERATIVA DE CREDIT VALENCIANA
BCOEESMM19;3190;3190;CAJA RURAL DE ALBACETE, CIUDAD REAL Y CUENCA, SOCIEDAD COOPERATIVA DE CREDITO
BCNDESM1XXX;21;21;BANCO CONDAL
CAIXESBBXXX;41;41;BANCO DE JEREZ
CRESESMMXXX;1460;1460;CREDIT SUISSE SUCURSAL EN ESPAÑA
CSFAESM1XXX;8233;8233;CELERIS SERVICIOS FINANCIEROS, S.A., E.F.C.
FRANESM1XXX;1466;1466;FRANFINANCE, S.E.
EHYPESMXXXX;1467;1467;EUROHYPO A.G., S.E.
SHSAESM1XXX;1469;1469;BANCO SYGMA HISPANIA, S.E.
BPIPESM1XXX;1470;1470;BANCO PORTUGUES DE INVESTIMENTO, S.A. S.E.
UCSSESM1XXX;1472;1472;CREDIT AGRICOLE LEASING & FACTORING, S.E.
PRIBESMXXXX;1473;1473;BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, S.E
CITIESMXXXX;1474;1474;CITIBANK INTERNATIONAL PLC, S.E.
CCSEESM1XXX;1475;1475;CORTAL CONSORS, S.E.
MLIBESM1XXX;1478;1478;MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.
NATXESMMXXX;1479;1479;NATIXIS, S.A., S.E.
VOWAES21XXX;1480;1480;VOLKSWAGEN BANK GMBH, S.E.
PICTESMMXXX;1488;1488;PICTET & CIE (EUROPE), S.A., S.E.
BCITESMMXXX;1494;1494;INTESA SANPAOLO S.P.A., S.E.
ESSIESMMXXX;1497;1497;BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A., S.E.
DPBBESM1XXX;1501;1501;DEUTSCHE PFANDBRIEFBANK AG, S.E.
EFGBESMMXXX;1522;1522;EFG BANK (LUXEMBOURG) S.A., S.E.
BCDMESMMXXX;1525;1525;BANQUE CHAABI DU MAROC, S.E.
KBLXESMMXXX;1534;1534;KBL EUROPEAN PRIVATE BANKERS, S.A. S.E.
ICBKESMMXXX;1538;1538;INDUSTRIAL & COMMERCIAL BANK OF CHINA(EUROPE)SA,SE
BACAESMMXXX;1544;1544;ANDBANC LUXEMBOURG, S.A., SUCURSAL EN ESPAÑA
SCSIESM1XXX;1116;1116;BANQUE SCANDINAVE EN SUISSE
SCBLESM1XXX;1127;1127;STANDARD CHARTERED BANK
IRVTESM1XXX;1156;1156;THE BANK OF NEW YORK MELLON
BNACESM1XXX;1168;1168;BANCO NACIONAL DE CUBA
HANDES21XXX;1191;1191;SVENSKA HANDELSBANKEN
PKBSES21XXX;1193;1193;PKB PRIVATBANK AG.
AEEVESM1XXX;1196;1196;BANCO DE LAS ACTIVIDADES ECONOMICAS EXTERIORES
BILLESB1XXX;1197;1197;BANQUE INTERNATIONALE A LUXEMBOURG
CRGEESM1XXX;1199;1199;BANCA CARIGE SPA-CASSA RISPARMIO GENOVA E IMPERIA
ABCMESM1XXX;1209;1209;ALLIED BANKING CORPORATION
REDEESM1XXX;1210;1210;BANQUE REGIONALE D'ESCOMPTE ET DE DEPOTS
AARBESM1XXX;1255;1255;AAREAL BANK AG
COURESB1XXX;1173;1173;BANQUE COURTOIS
CAGLESMMXXX;239;239;EVO BANCO S.A.
MNTYESMMXXX;6814;6814;MONTY GLOBAL PAYMENTS, S.A.
NFFSESM1XXX;1464;1464;NEWCOURT FINANCE (FRANCE) S.N.C., S.E.
IXIUESM1XXX;228;228;BANCO EXELBANK, S.A.
UCINESMMXXX;8512;8512;UNION DE CREDITOS INMOBILIARIOS, S.A., E.F.C.
TRESES2BXXX;486;486;BANCO GRUPO CAJATRES, S.A.
FCEFESM1XXX;218;218;FCE BANK PLC S.E.
LLISESM1XXX;1457;1457;DE LAGE LANDEN INTERNATIONAL B.V., S.E.
PRABESMMXXX;1459;1459;COOP.CENTR. RAIFFEISEN-BOERENL.(RABOBANK NED.)S.E.
ASSCESM1XXX;1462;1462;ASSOCIATES CAPITAL CORPORATION, PLC. S.E.
PSABESM1XXX;1463;1463;BANQUE PSA FINANCE, S.E.
IKBDESM1XXX;1502;1502;IKB DEUTSCHE INDUSTRIEBANK AG, S.E.
ARABESMMXXX;1505;1505;EUROPE ARAB BANK PLC, S.E.
MLCBESM1XXX;1506;1506;MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.
UBIBESMMXXX;1524;1524;UBI BANCA INTERNATIONAL, S.A., S.E.
BOFAES2XXXX;1485;1485;BANK OF AMERICA, NATIONAL ASSOCIATION, S.E.
BSUDESM1XXX;1113;1113;BANQUE SUDAMERIS
ESBFESM1XXX;1164;1164;ESPIRITO SANTO BANK OF FLORIDA
HYVEESM1XXX;1182;1182;UNICREDIT BANK AG
PNBMESM1XXX;1221;1221;PHILIPPINE NATIONAL BANK, S.A.
RHRHESM1XXX;1224;1224;RHEINHYP RHEINISCHE HYPOTHEKENBANK A.G.
BSSAESB1XXX;1227;1227;BANQUE SCS ALLIANCE
BOCAES21XXX;1231;1231;BANCO CANARIAS DE VENEZUELA, CA
BCMAESM1XXX;1233;1233;ATTIJARIWAFA BANK
PRBAESM1XXX;1234;1234;BANCO DE LA PROVINCIA DE BUENOS AIRES
HELAESM1XXX;1236;1236;LANDESBANK HESSEN-THUERINGEN GIROZENTRALE
BIMEESM1XXX;1238;1238;BANCO INTERNACIONAL, S.A.
LOFPESB1XXX;1240;1240;LONDON FORFAITING A PARIS, S.A.
STOLESM1XXX;1241;1241;BANCO SBS-AGRO
SOLAESB1XXX;1242;1242;LANDESBANK BADEN-WÜRTTEMBERG
BEIVESM1XXX;1245;1245;BES INVESTIMENTO SA
WAFAESM1XXX;1248;1248;WAFABANK
NPBSES21XXX;1249;1249;NORWICH AND PETERBOROUGH BUILDING SOCIETY
IHZUES21XXX;1251;1251;PRIVATBANK IHAG ZURICH
CRCGESB1XXX;1451;1451;CAISSE REGIONALE CREDIT AGRICOLE MUTUEL SUD MED,SE
NEWGESM1XXX;1454;1454;NEWEDGE GROUP, S.E.
PSTRESMMXXX;238;238;Banco Popular Pastor, S.A
BPLCESMMXXX;152;152;BARCLAYS BANK, P.L.C.
BSUIESMMXXX;154;154;BANQUE INDOSUEZ
BRASESMMXXX;155;155;BANCO DO BRASIL
ABNAESMMXXX;156;156;ABN AMRO BANK N.V.
COBAESMXXXX;159;159;COMMERZBANK, A.G.
BOTKESMXXXX;160;160;THE BANK OF TOKIO, LLMITED
BKTRESM1XXX;161;161;THE BANKERS TRUST COMPANV
MIDLESMMXXX;162;162;MIDLAND BANK, P.L.C.
GEBAESMMXXX;167;167;GENERALE BANK, BANCO BELGA
BBRUESMXXXX;168;168;BANOUE BRUXELLES LAMBERT
NACNESMMXXX;169;169;BANCO DE LA NACIÓN ARGENTINA
BBVAESMMXXX;182;182;BANCO BILBAO VIZCAYA, S.A.
BFIVESBBXXX;186;186;BANCO DE FINANZAS E INVERSIONES, S.A.
ALCLESMMXXX;188;188;BANCO ALCALÁ, S.A.
BBPIESMMXXX;190;190;BANCO DE FOMENTO E EXTERIOR-PORTUGAL
WELAESMMXXX;196;196;WESTDEUTSCHE LANDESBANK (EUROPA) AG
BCOEESMMXXX;198;198;BANCO COOPERATIVO ESPAÑOL, S.A.
PRVBESB1XXX;200;200;PRIVAT BANK
DECRESM1XXX;205;205;DEUTSCHE BANK CREDIT
MNTYESMMXXX;6814;6814;MONTY GLOBAL PAYMENTS, S.A.
NFFSESM1XXX;1464;1464;NEWCOURT FINANCE (FRANCE) S.N.C., S.E.
IXIUESM1XXX;228;228;BANCO EXELBANK, S.A.
UCINESMMXXX;8512;8512;UNION DE CREDITOS INMOBILIARIOS, S.A., E.F.C.
TRESES2BXXX;486;486;BANCO GRUPO CAJATRES, S.A.
FCEFESM1XXX;218;218;FCE BANK PLC S.E.
LLISESM1XXX;1457;1457;DE LAGE LANDEN INTERNATIONAL B.V., S.E.
PRABESMMXXX;1459;1459;COOP.CENTR. RAIFFEISEN-BOERENL.(RABOBANK NED.)S.E.
ASSCESM1XXX;1462;1462;ASSOCIATES CAPITAL CORPORATION, PLC. S.E.
PSABESM1XXX;1463;1463;BANQUE PSA FINANCE, S.E.
IKBDESM1XXX;1502;1502;IKB DEUTSCHE INDUSTRIEBANK AG, S.E.
ARABESMMXXX;1505;1505;EUROPE ARAB BANK PLC, S.E.
MLCBESM1XXX;1506;1506;MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.
UBIBESMMXXX;1524;1524;UBI BANCA INTERNATIONAL, S.A., S.E.
BOFAES2XXXX;1485;1485;BANK OF AMERICA, NATIONAL ASSOCIATION, S.E.
BSUDESM1XXX;1113;1113;BANQUE SUDAMERIS
ESBFESM1XXX;1164;1164;ESPIRITO SANTO BANK OF FLORIDA
HYVEESM1XXX;1182;1182;UNICREDIT BANK AG
PNBMESM1XXX;1221;1221;PHILIPPINE NATIONAL BANK, S.A.
RHRHESM1XXX;1224;1224;RHEINHYP RHEINISCHE HYPOTHEKENBANK A.G.
BSSAESB1XXX;1227;1227;BANQUE SCS ALLIANCE
BOCAES21XXX;1231;1231;BANCO CANARIAS DE VENEZUELA, CA
BCMAESM1XXX;1233;1233;ATTIJARIWAFA BANK
PRBAESM1XXX;1234;1234;BANCO DE LA PROVINCIA DE BUENOS AIRES
HELAESM1XXX;1236;1236;LANDESBANK HESSEN-THUERINGEN GIROZENTRALE
BIMEESM1XXX;1238;1238;BANCO INTERNACIONAL, S.A.
LOFPESB1XXX;1240;1240;LONDON FORFAITING A PARIS, S.A.
